movement_number,X,Y,Z
0,20,-10,20.0
1,18,-10,20.0
2,16,-10,20.0
3,14,-10,20.0
4,12,-10,20.0
5,10,-10,20.0
6,8,-10,20.0
7,6,-10,20.0
8,4,-10,20.0
9,2,-10,20.0
10,0,-10,20.0
11,-2,-10,20.0
12,-4,-10,20.0
13,-6,-10,20.0
14,-8,-10,20.0
15,-10,-10,20.0
16,-12,-10,20.0
17,-14,-10,20.0
18,-16,-10,20.0
19,-18,-10,20.0
20,-20,-10,20.0
21,-20,-10,20.0
22,-20,-10,20.5
23,-20,-10,21.0
24,-20,-10,21.5
25,-20,-10,22.0
26,-20,-10,22.5
27,-20,-10,23.0
28,-20,-10,23.5
29,-20,-10,24.0
30,-20,-10,24.5
31,-20,-10,25.0
32,-18,-10,25.0
33,-16,-10,25.0
34,-14,-10,25.0
35,-12,-10,25.0
36,-10,-10,25.0
37,-8,-10,25.0
38,-6,-10,25.0
39,-4,-10,25.0
40,-2,-10,25.0
41,0,-10,25.0
42,2,-10,25.0
43,4,-10,25.0
44,6,-10,25.0
45,8,-10,25.0
46,10,-10,25.0
47,12,-10,25.0
48,14,-10,25.0
49,16,-10,25.0
50,18,-10,25.0
51,20,-10,25.0
52,22,-10,25.0
53,22,-10,25.5
54,22,-10,26.0
55,22,-10,26.5
56,22,-10,27.0
57,22,-10,27.5
58,22,-10,28.0
59,22,-10,28.5
60,22,-10,29.0
61,22,-10,29.5
62,22,-10,30.0
63,18,-10,30.0
64,16,-10,30.0
65,14,-10,30.0
66,12,-10,30.0
67,10,-10,30.0
68,8,-10,30.0
69,6,-10,30.0
70,4,-10,30.0
71,2,-10,30.0
72,0,-10,30.0
73,-2,-10,30.0
74,-4,-10,30.0
75,-6,-10,30.0
76,-8,-10,30.0
77,-10,-10,30.0
78,-12,-10,30.0
79,-14,-10,30.0
80,-16,-10,30.0
81,-18,-10,30.0
82,-20,-10,30.0
83,-22,-10,30.0
84,-22,-10,30.5
85,-22,-10,31.0
86,-22,-10,31.5
87,-22,-10,32.0
88,-22,-10,32.5
89,-22,-10,33.0
90,-22,-10,33.5
91,-22,-10,34.0
92,-22,-10,34.5
93,-22,-10,35.0
94,-18,-10,35.0
95,-16,-10,35.0
96,-14,-10,35.0
97,-12,-10,35.0
98,-10,-10,35.0
99,-8,-10,35.0
100,-6,-10,35.0
101,-4,-10,35.0
102,-2,-10,35.0
103,0,-10,35.0
104,2,-10,35.0
105,4,-10,35.0
106,6,-10,35.0
107,8,-10,35.0
108,10,-10,35.0
109,12,-10,35.0
110,14,-10,35.0
111,16,-10,35.0
112,18,-10,35.0
113,20,-10,35.0
114,22,-10,35.0
115,22,-10,35.5
116,22,-10,36.0
117,22,-10,36.5
118,22,-10,37.0
119,22,-10,37.5
120,22,-10,38.0
121,22,-10,38.5
122,22,-10,39.0
123,22,-10,39.5
124,22,-10,40.0
125,22,-10,40.5
126,22,-10,41.0
127,22,-10,41.5
128,22,-10,42.0
129,22,-10,42.5
130,22,-10,43.0
131,22,-10,43.5
132,22,-10,44.0
133,22,-10,44.5
134,22,-10,45.0
135,22,-10,45.5
136,22,-10,46.0
137,22,-10,46.5
138,22,-10,47.0
139,22,-10,47.5
140,22,-10,48.0
141,22,-10,48.5
142,22,-10,49.0
143,22,-10,49.5
144,22,-10,50.0
145,22,-10,50.5
146,22,-10,51.0
147,22,-10,51.5
148,22,-10,52.0
149,22,-10,52.5
150,22,-10,53.0
151,22,-10,53.5
152,22,-10,54.0
153,22,-10,54.5
154,22,-10,55.0
155,22,-10,55.5
156,22,-10,56.0
157,22,-10,56.5
158,22,-10,57.0
159,22,-10,57.5
160,22,-10,58.0
161,22,-10,58.5
162,22,-10,59.0
163,22,-10,59.5
164,22,-10,60.0
165,22,-10,60.5
166,22,-10,61.0
167,22,-10,61.5
168,22,-10,62.0
169,22,-10,62.5
170,22,-10,63.0
171,22,-10,63.5
172,22,-10,64.0
173,22,-10,64.5
174,22,-10,65.0
175,22,-10,65.5
176,22,-10,66.0
177,22,-10,66.5
178,22,-10,67.0
179,22,-10,67.5
180,22,-10,68.0
181,22,-10,68.5
182,22,-10,69.0
183,22,-10,69.5
184,22,-10,70.0
185,22,-10,70.5
186,22,-10,71.0
187,22,-10,71.5
188,22,-10,72.0
189,22,-10,72.5
190,22,-10,73.0
191,22,-10,73.5
192,22,-10,74.0
193,22,-10,74.5
194,22,-10,75.0
195,22,-10,75.5
196,22,-10,76.0
197,22,-10,76.5
198,22,-10,77.0
199,22,-10,77.5
200,22,-10,78.0
201,22,-10,78.5
202,22,-10,79.0
203,22,-10,79.5
204,22,-10,80.0
205,-20,-10,20.0
206,-20,-10,21.0
207,-20,-10,22.0
208,-20,-10,23.0
209,-20,-10,24.0
210,-20,-10,25.0
211,-20,-10,26.0
212,-20,-10,27.0
213,-20,-10,28.0
214,-20,-10,29.0
215,-20,-10,30.0
216,-20,-10,31.0
217,-20,-10,32.0
218,-20,-10,33.0
219,-20,-10,34.0
220,-20,-10,35.0
221,-20,-10,36.0
222,-20,-10,37.0
223,-20,-10,38.0
224,-20,-10,39.0
225,-20,-10,40.0
226,-20,-10,41.0
227,-20,-10,42.0
228,-20,-10,43.0
229,-20,-10,44.0
230,-20,-10,45.0
231,-20,-10,46.0
232,-20,-10,47.0
233,-20,-10,48.0
234,-20,-10,49.0
235,-20,-10,50.0
236,-20,-10,51.0
237,-20,-10,52.0
238,-20,-10,53.0
239,-20,-10,54.0
240,-20,-10,55.0
241,-20,-10,56.0
242,-20,-10,57.0
243,-20,-10,58.0
244,-20,-10,59.0
245,-20,-10,60.0
246,-20,-10,61.0
247,-20,-10,62.0
248,-20,-10,63.0
249,-20,-10,64.0
250,-20,-10,65.0
251,-20,-10,66.0
252,-20,-10,67.0
253,-20,-10,68.0
254,-20,-10,69.0
255,-20,-10,70.0
256,-20,-10,71.0
257,-20,-10,72.0
258,-20,-10,73.0
259,-20,-10,74.0
260,-20,-10,75.0
261,-20,-10,76.0
262,-20,-10,77.0
263,-20,-10,78.0
264,-20,-10,79.0
265,-20,-10,80.0
266,-19,-10,20.0
267,-19,-10,21.0
268,-19,-10,22.0
269,-19,-10,23.0
270,-19,-10,24.0
271,-19,-10,25.0
272,-19,-10,26.0
273,-19,-10,27.0
274,-19,-10,28.0
275,-19,-10,29.0
276,-19,-10,30.0
277,-19,-10,31.0
278,-19,-10,32.0
279,-19,-10,33.0
280,-19,-10,34.0
281,-19,-10,35.0
282,-19,-10,36.0
283,-19,-10,37.0
284,-19,-10,38.0
285,-19,-10,39.0
286,-19,-10,40.0
287,-19,-10,41.0
288,-19,-10,42.0
289,-19,-10,43.0
290,-19,-10,44.0
291,-19,-10,45.0
292,-19,-10,46.0
293,-19,-10,47.0
294,-19,-10,48.0
295,-19,-10,49.0
296,-19,-10,50.0
297,-19,-10,51.0
298,-19,-10,52.0
299,-19,-10,53.0
300,-19,-10,54.0
301,-19,-10,55.0
302,-19,-10,56.0
303,-19,-10,57.0
304,-19,-10,58.0
305,-19,-10,59.0
306,-19,-10,60.0
307,-19,-10,61.0
308,-19,-10,62.0
309,-19,-10,63.0
310,-19,-10,64.0
311,-19,-10,65.0
312,-19,-10,66.0
313,-19,-10,67.0
314,-19,-10,68.0
315,-19,-10,69.0
316,-19,-10,70.0
317,-19,-10,71.0
318,-19,-10,72.0
319,-19,-10,73.0
320,-19,-10,74.0
321,-19,-10,75.0
322,-19,-10,76.0
323,-19,-10,77.0
324,-19,-10,78.0
325,-19,-10,79.0
326,-19,-10,80.0
327,-18,-10,20.0
328,-18,-10,21.0
329,-18,-10,22.0
330,-18,-10,23.0
331,-18,-10,24.0
332,-18,-10,25.0
333,-18,-10,26.0
334,-18,-10,27.0
335,-18,-10,28.0
336,-18,-10,29.0
337,-18,-10,30.0
338,-18,-10,31.0
339,-18,-10,32.0
340,-18,-10,33.0
341,-18,-10,34.0
342,-18,-10,35.0
343,-18,-10,36.0
344,-18,-10,37.0
345,-18,-10,38.0
346,-18,-10,39.0
347,-18,-10,40.0
348,-18,-10,41.0
349,-18,-10,42.0
350,-18,-10,43.0
351,-18,-10,44.0
352,-18,-10,45.0
353,-18,-10,46.0
354,-18,-10,47.0
355,-18,-10,48.0
356,-18,-10,49.0
357,-18,-10,50.0
358,-18,-10,51.0
359,-18,-10,52.0
360,-18,-10,53.0
361,-18,-10,54.0
362,-18,-10,55.0
363,-18,-10,56.0
364,-18,-10,57.0
365,-18,-10,58.0
366,-18,-10,59.0
367,-18,-10,60.0
368,-18,-10,61.0
369,-18,-10,62.0
370,-18,-10,63.0
371,-18,-10,64.0
372,-18,-10,65.0
373,-18,-10,66.0
374,-18,-10,67.0
375,-18,-10,68.0
376,-18,-10,69.0
377,-18,-10,70.0
378,-18,-10,71.0
379,-18,-10,72.0
380,-18,-10,73.0
381,-18,-10,74.0
382,-18,-10,75.0
383,-18,-10,76.0
384,-18,-10,77.0
385,-18,-10,78.0
386,-18,-10,79.0
387,-18,-10,80.0
388,-17,-10,20.0
389,-17,-10,21.0
390,-17,-10,22.0
391,-17,-10,23.0
392,-17,-10,24.0
393,-17,-10,25.0
394,-17,-10,26.0
395,-17,-10,27.0
396,-17,-10,28.0
397,-17,-10,29.0
398,-17,-10,30.0
399,-17,-10,31.0
400,-17,-10,32.0
401,-17,-10,33.0
402,-17,-10,34.0
403,-17,-10,35.0
404,-17,-10,36.0
405,-17,-10,37.0
406,-17,-10,38.0
407,-17,-10,39.0
408,-17,-10,40.0
409,-17,-10,41.0
410,-17,-10,42.0
411,-17,-10,43.0
412,-17,-10,44.0
413,-17,-10,45.0
414,-17,-10,46.0
415,-17,-10,47.0
416,-17,-10,48.0
417,-17,-10,49.0
418,-17,-10,50.0
419,-17,-10,51.0
420,-17,-10,52.0
421,-17,-10,53.0
422,-17,-10,54.0
423,-17,-10,55.0
424,-17,-10,56.0
